year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2018,LVS,1300514,13729000000.0,0,-949000000.0
2018,SNPS,883241,3121058000.0,432518000.0,-98976000.0
2018,FTV,1659166,Income statement not found,cash flow not found,cash flow not found
2018,PANW,1327567,658100000.0,-147900000.0,-112000000.0
2018,MTB,36270,Income statement not found,cash flow not found,cash flow not found
2018,AME,1037868,Income statement not found,cash flow not found,cash flow not found
2018,XLNX,743988,2539004000.0,512381000.0,-49918000.0
2018,BXP,1037540,2717076000.0,0,tag not found
2018,LYB,1489393,39004000000.0,0,-2105000000.0
2018,KR,56873,39004000000.0,0,-2809000000.0
2018,AMP,820027,Income statement not found,0,-162000000.0
2018,ALXN,899866,0,cash flow not found,cash flow not found
2018,HSY,47111,1987902000.0,0,-328601000.0
2018,VRSN,1014473,Income statement not found,0,-37007000.0
2018,CMG,1058090,Income statement not found,cash flow not found,cash flow not found
2018,VTR,740260,923263000.0,0,-131858000.0
2018,DXCM,1093557,0,0,-131858000.0
2018,SYF,1601712,Income statement not found,0,-131858000.0
2018,FAST,815556,Income statement not found,751900000.0,-176300000.0
2018,WY,106535,Income statement not found,cash flow not found,cash flow not found
2018,GLW,24741,Income statement not found,1066000000.0,tag not found
2018,FITB,35527,0,0,-192000000.0
2018,HIG,874766,18955000000.0,1807000000.0,-122000000.0
2018,DLTR,935703,Income statement not found,-1590800000.0,-817100000.0
2018,ALGN,1097149,0,400235000.0,-223312000.0
2018,CLX,21076,6124000000.0,400235000.0,-223312000.0
2018,CDNS,813672,Income statement not found,345777000.0,-61503000.0
2018,RSG,1060391,Income statement not found,cash flow not found,cash flow not found
2018,CPRT,900075,1805695000.0,cash flow not found,cash flow not found
2018,SWKS,4127,Income statement not found,cash flow not found,cash flow not found
2018,ESS,920522,0,0,tag not found
2018,RCL,884887,Income statement not found,0,-3660028000.0
2018,WDC,106040,0,675000000.0,-835000000.0
2018,AEE,1002910,Income statement not found,cash flow not found,cash flow not found
2018,BBY,764478,Income statement not found,1464000000.0,-819000000.0
2018,NTRS,73124,0,1556400000.0,-97600000.0
2018,DHI,882184,Income statement not found,0,-70200000.0
2018,MKC,63754,Income statement not found,cash flow not found,cash flow not found
2018,VEEV,1393052,Income statement not found,0,-8440000.0
2018,HAL,45012,0,0,-2026000000.0
2018,KEY,91576,0,0,-99000000.0
2018,VMC,1396009,Income statement not found,515805000.0,-469088000.0
2018,HPE,1645590,Income statement not found,0,-2956000000.0
2018,CDW,1402057,0,643000000.0,-86100000.0
2018,AJG,354190,0,cash flow not found,cash flow not found
2018,CMS,811156,6873000000.0,0,-2074000000.0
2018,ARE,1035443,0,0,tag not found
2018,UAL,100517,Income statement not found,cash flow not found,cash flow not found
2018,EFX,33185,0,0,-321900000.0
2018,LEN,920760,Income statement not found,0,-130439000.0
2018,MTD,1037646,2935586000.0,512611000.0,-142726000.0
2018,KHC,1637459,0,512611000.0,-142726000.0
2018,CHD,313927,0,cash flow not found,cash flow not found
2018,FCX,831259,3684000000.0,cash flow not found,cash flow not found
2018,KEYS,1601046,Income statement not found,cash flow not found,cash flow not found
2018,LH,920148,11333400000.0,0,-379800000.0
2018,TFX,96943,0,0,-379800000.0
2018,TRU,1552033,0,0,-379800000.0
2018,IAC,891103,Income statement not found,cash flow not found,cash flow not found
2018,ACGL,947484,5450568000.0,0,-29809000.0
2018,MXIM,743316,0,0,-29809000.0
2018,IP,51434,Income statement not found,cash flow not found,cash flow not found
2018,MLM,916076,Income statement not found,0,-375954000.0
2018,DOV,29905,Income statement not found,570267000.0,-170994000.0
2018,TEAM,1650372,Income statement not found,570267000.0,-170994000.0
2018,COO,711404,2532800000.0,0,-193600000.0
2018,CFG,759944,0,0,-232000000.0
2018,FTNT,1262039,1801200000.0,332200000.0,-53000000.0
2018,MRVL,1058057,0,-179094000.0,-75921000.0
2018,K,55067,Income statement not found,cash flow not found,cash flow not found
2018,MKL,1096343,Income statement not found,0,-106593000.0
2018,KSU,54480,2714000000.0,0,-106593000.0
2018,INVH,1687229,1722962000.0,0,-106593000.0
2018,OMC,29989,15290200000.0,0,-195700000.0
2018,CINF,20286,5407000000.0,287000000.0,-20000000.0
2018,CXO,1358071,0,2286000000.0,tag not found
2018,TIF,98246,Income statement not found,2286000000.0,tag not found
2018,MGM,789570,0,0,-1486843000.0
2018,KMX,1170010,Income statement not found,664112000.0,-296816000.0
2018,YUMC,1673358,Income statement not found,cash flow not found,cash flow not found
2018,RF,1281761,0,1759000000.0,tag not found
2018,HES,4447,Income statement not found,cash flow not found,cash flow not found
2018,BMRN,1048477,0,cash flow not found,cash flow not found
2018,PAYC,1590955,0,0,-59906000.0
2018,MAA,912595,1571346000.0,0,-59906000.0
2018,CAG,23217,1571346000.0,0,-59906000.0
2018,CTL,18926,23443000000.0,-1733000000.0,-3175000000.0
2018,ULTA,1403568,23443000000.0,0,-440714000.0
2018,XYL,1524472,Income statement not found,0,-237000000.0
2018,TWLO,1447669,0,0,-4668000.0
2018,PFG,1126328,3770600000.0,0,tag not found
2018,CAH,721371,Income statement not found,0,-384000000.0
2018,EXPE,1324424,0,0,-878000000.0
2018,RNG,1384905,0,0,-27123000.0
2018,CTXS,877890,0,0,-27123000.0
2018,IFF,51253,Income statement not found,cash flow not found,cash flow not found
2018,AKAM,1086222,0,298373000.0,-217609000.0
2018,BURL,1579298,6668479000.0,0,-295772000.0
2018,NUE,73309,Income statement not found,0,-982531000.0
2018,DGX,1022079,7531000000.0,0,-383000000.0
2018,WAB,943452,0,0,-93305000.0
2018,HBAN,49196,0,1393000000.0,-110000000.0
2018,DRI,940944,Income statement not found,1393000000.0,-110000000.0
2018,HOLX,859737,3217900000.0,-111300000.0,-58400000.0
2018,SUI,912593,1126825000.0,0,tag not found
2018,WPC,1025378,885732000.0,0,tag not found
2018,LDOS,1336920,0,0,-73000000.0
2018,GRMN,1121788,0,694080000.0,-155755000.0
2018,MAS,62996,0,0,-219000000.0
2018,NLY,1043219,Income statement not found,0,-219000000.0
2018,SSNC,1402436,Income statement not found,103200000.0,-33600000.0
2018,LBRDK,1611983,22256000.0,0,-41000.0
2018,WAT,1000697,0,0,tag not found
2018,LNT,352541,3534500000.0,522299999.99999994,tag not found
2018,UDR,74208,1046859000.0,522299999.99999994,tag not found
2018,ABC,1140859,167939635000.0,cash flow not found,cash flow not found
2018,ATO,731802,0,603064000.0,-1467591000.0
2018,NTAP,1002047,5911000000.0,76000000.0,-145000000.0
2018,GPC,40987,Income statement not found,810474000.0,-232422000.0
2018,AES,874761,10736000000.0,810474000.0,-232422000.0
2018,LNG,3570,5601000000.0,810474000.0,-232422000.0
2018,EXR,1289490,1196604000.0,0,tag not found
2018,BR,1383312,Income statement not found,0,-76700000.0
2018,L,60086,Income statement not found,cash flow not found,cash flow not found
2018,CBOE,1374310,0,0,-36300000.0
