cik,symbol,year,quarter,filing_url
72741,ES,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/731802/0001127602-18-029045.txt
72903,XEL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1203342/0001179110-18-011813.txt
72971,WFC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/826253/0001209191-18-054376.txt
73124,NTRS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/866787/0001225208-18-013920.txt
73309,NUE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/39677/0001179110-18-011931.txt
74208,UDR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1377789/0001377789-18-000091.txt
74260,ORI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/8858/0001127602-18-029504.txt
74303,OLN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/8868/0001209191-18-052864.txt
75362,PCAR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1006053/0001246360-18-002305.txt
75677,PKG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/859163/0001127602-18-029265.txt
76334,PH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1650781/0000902664-18-003599.txt
77360,PNR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1069183/0001069183-18-000102.txt
77476,PEP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1461865/0000004281-18-000116.txt
78003,PFE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1254088/0001720088-18-000016.txt
78239,PVH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1367776/0001567619-18-003634.txt
79282,BRO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551152/0001179110-18-011829.txt
79879,PPG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1660027/0001567619-18-003504.txt
80424,PG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1511696/0001171843-18-006773.txt
80661,PGR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1503290/0001446215-18-000004.txt
82811,RBC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1694482/0000914190-18-000422.txt
84839,ROL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1590728/0000899243-18-025911.txt
85535,RGLD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1425152/0001209191-18-054386.txt
85961,R,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1326633/0001638599-18-001147.txt
86312,TRV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1651235/0001651235-18-000164.txt
87347,SLB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1467373/0001467373-18-000289.txt
88121,SEB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1557746/0001209191-18-054397.txt
89089,SCI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1738354/0001104659-18-060364.txt
89800,SHW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1621227/0001104659-18-060128.txt
91142,AOS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1670541/0001127602-18-029435.txt
91419,SJM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1400395/0001209191-18-053073.txt
91440,SNA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/730464/0001127602-18-028805.txt
91576,KEY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1673985/0001673985-18-000108.txt
91767,SON,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1675059/0001104659-18-059661.txt
92122,SO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/353020/0001437749-18-017907.txt
92380,LUV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1711750/0001179110-18-011996.txt
93410,CVX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1519118/0000899243-18-025959.txt
93556,SWK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1316282/0001567619-18-003343.txt
93751,STT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1592016/0000899243-18-025806.txt
96021,SYY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1381112/0001127602-18-028831.txt
96943,TFX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1700518/0001615774-18-010232.txt
97210,TER,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1750309/0000876167-18-000113.txt
97476,TXN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1557533/0001209191-18-052907.txt
97745,TMO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1557533/0001567619-18-003780.txt
98246,TIF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1295252/0001272830-18-000121.txt
98362,TKR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1627197/0000045012-18-000155.txt
